AquaCrop 6.1 (May 2018) - Output created on (date) : 12/04/2022   at (time) : 17:58:56
Soil Water content in soil profile (WC) and root zone (Wr)

** Run number:  1   -- Water content in soil profile (WCTot layer: 0.00 - 1.20 m) and root zone (Wr with Zx = 1.00 m)
   Day Month  Year   DAP Stage     WCTot   Wr(Zx)      Z       Wr    Wr(SAT)    Wr(FC)   Wr(exp)   Wr(sto)   Wr(sen)   Wr(PWP)
                                     mm       mm       m       mm        mm        mm        mm        mm        mm        mm
    10     6  2017    57    2     354.7    292.7    0.74    214.3     342.2     230.6     213.1     147.9     147.9     111.6
    11     6  2017    58    2     354.7    292.7    0.75    217.1     346.4     233.4     217.9     151.1     151.1     113.0
    12     6  2017    59    2     355.1    293.1    0.76    220.3     350.8     236.4     224.8     155.6     155.6     114.4
    13     6  2017    60    2     354.8    292.8    0.77    222.8     355.2     239.4     225.4     156.1     156.1     115.8
    14     6  2017    61    2     354.5    292.5    0.78    225.4     359.7     242.4     226.3     157.0     157.0     117.3
    15     6  2017    62    2     353.6    291.6    0.79    227.1     364.0     245.3     221.4     154.2     154.2     118.7
    16     6  2017    63    2     354.8    292.8    0.80    230.8     367.9     247.9     221.3     154.3     154.3     120.0
    17     6  2017    64    2     355.0    293.0    0.81    233.6     371.9     250.6     226.6     157.8     157.8     121.3
    18     6  2017    65    2     353.9    291.9    0.82    235.6     376.0     253.4     234.6     162.9     162.9     122.6
    19     6  2017    66    2     363.1    301.1    0.83    247.4     379.9     256.0     231.0     160.9     160.9     123.9
    20     6  2017    67    2     365.2    303.2    0.83    252.0     383.5     258.5     231.8     161.5     161.5     125.1
    21     6  2017    68    2     371.8    309.8    0.84    260.7     386.9     260.7     228.7     159.8     159.8     126.2
    22     6  2017    69    2     367.6    305.6    0.85    259.1     390.8     263.4     246.4     170.8     170.8     127.4
    23     6  2017    70    2     363.7    301.7    0.86    258.0     394.9     266.1     246.4     171.0     171.0     128.8
    24     6  2017    71    2     361.3    299.3    0.87    258.4     399.1     269.0     245.3     170.6     170.6     130.1
    25     6  2017    72    2     372.4    310.4    0.88    271.7     402.6     271.3     238.0     166.2     166.2     131.3
    26     6  2017    73    2     396.9    334.9    0.88    298.5     405.8     273.5     236.7     165.6     165.6     132.3
    27     6  2017    74    3     433.6    371.0    0.89    336.5     409.3     275.8     240.9     168.4     168.4     133.5
    28     6  2017    75    3     432.2    367.8    0.90    334.1     412.4     277.9     236.2     165.7     165.7     134.5
    29     6  2017    76    3     472.2    407.8    0.90    376.6     415.7     280.2     244.1     170.7     170.7     135.6
    30     6  2017    77    3     474.9    408.5    0.91    378.5     418.8     282.2     241.6     169.3     169.3     136.6
     1     7  2017    78    3     455.1    388.4    0.92    360.1     421.4     284.0     244.7     171.3     171.3     137.4
     2     7  2017    79    3     418.8    353.1    0.92    327.2     423.9     285.7     246.2     172.3     172.3     138.2
     3     7  2017    80    3     439.6    375.7    0.93    352.4     426.6     287.5     247.7     173.4     173.4     139.1
     4     7  2017    81    3     417.3    352.4    0.93    330.6     429.4     289.4     246.5     172.8     172.8     140.0
     5     7  2017    82    3     402.9    339.0    0.94    319.9     432.6     291.5     252.3     176.5     176.5     141.0
     6     7  2017    83    3     406.0    342.8    0.95    325.9     435.3     293.4     248.8     174.5     174.5     142.0
     7     7  2017    84    3     406.7    343.5    0.95    328.4     438.1     295.2     250.9     176.0     176.0     142.9
     8     7  2017    85    3     418.3    355.1    0.96    342.0     440.9     297.2     256.0     179.3     179.3     143.8
     9     7  2017    86    3     410.5    346.6    0.96    335.4     443.9     299.1     256.0     179.4     179.4     144.7
    10     7  2017    87    3     427.5    364.0    0.97    354.7     446.7     301.0     254.7     178.7     178.7     145.7
    11     7  2017    88    3     420.6    356.4    0.98    349.1     449.5     303.0     257.5     180.6     180.6     146.6
    12     7  2017    89    3     411.9    348.0    0.98    342.7     452.4     304.9     257.4     180.7     180.7     147.5
    13     7  2017    90    3     393.1    329.6    0.99    326.3     455.3     306.8     259.0     181.8     181.8     148.5
    14     7  2017    91    3     400.6    337.6    1.00    336.3     458.1     308.7     261.8     183.7     183.7     149.4
    15     7  2017    92    3     391.7    328.7    1.00    328.7     460.0     310.0     271.3     189.6     189.6     150.0
    16     7  2017    93    3     383.2    320.5    1.00    320.5     460.0     310.0     269.5     188.5     188.5     150.0
    17     7  2017    94    3     376.9    314.4    1.00    314.4     460.0     310.0     273.7     191.1     191.1     150.0
    18     7  2017    95    3     371.5    309.3    1.00    309.3     460.0     310.0     276.8     192.9     192.9     150.0
    19     7  2017    96    3     375.4    313.3    1.00    313.3     460.0     310.0     265.3     185.9     185.9     150.0
    20     7  2017    97    4     373.3    311.2    1.00    311.2     460.0     310.0     267.1     187.0     187.0     150.0
    21     7  2017    98    4     378.0    315.9    1.00    315.9     460.0     310.0     266.5     186.6     186.6     150.0
    22     7  2017    99    4     387.6    325.4    1.00    325.4     460.0     310.0     268.3     187.7     187.7     150.0
    23     7  2017   100    4     407.8    345.4    1.00    345.4     460.0     310.0     262.3     184.0     184.0     150.0
    24     7  2017   101    4     394.4    331.1    1.00    331.1     460.0     310.0     269.5     188.5     188.5     150.0
    25     7  2017   102    4     394.6    331.6    1.00    331.6     460.0     310.0     262.9     184.4     184.4     150.0
    26     7  2017   103    4     401.1    338.3    1.00    338.3     460.0     310.0     265.9     186.3     186.3     150.0
    27     7  2017   104    4     404.4    341.4    1.00    341.4     460.0     310.0     270.7     189.2     189.2     150.0
    28     7  2017   105    4     391.9    328.7    1.00    328.7     460.0     310.0     278.0     193.7     193.7     150.0
    29     7  2017   106    4     387.2    324.4    1.00    324.4     460.0     310.0     274.3     191.5     191.5     150.0
    30     7  2017   107    4     389.6    327.1    1.00    327.1     460.0     310.0     267.1     187.0     187.0     150.0
    31     7  2017   108    4     392.4    329.9    1.00    329.9     460.0     310.0     267.7     187.4     187.4     150.0
     1     8  2017   109    4     425.4    362.8    1.00    362.8     460.0     310.0     265.9     186.3     186.3     150.0
     2     8  2017   110    4     412.7    348.5    1.00    348.5     460.0     310.0     274.3     191.5     191.5     150.0
     3     8  2017   111    4     412.4    348.8    1.00    348.8     460.0     310.0     269.5     188.5     188.5     150.0
     4     8  2017   112    4     425.1    361.6    1.00    361.6     460.0     310.0     264.7     185.5     185.5     150.0
     5     8  2017   113    4     445.0    380.9    1.00    380.9     460.0     310.0     264.7     185.5     185.5     150.0
     6     8  2017   114    4     414.7    349.7    1.00    349.7     460.0     310.0     264.7     185.5     185.5     150.0
     7     8  2017   115    4     406.1    342.3    1.00    342.3     460.0     310.0     274.9     191.8     191.8     150.0
     8     8  2017   116    4     395.1    331.8    1.00    331.8     460.0     310.0     266.5     186.6     186.6     150.0
     9     8  2017   117    4     392.2    329.3    1.00    329.3     460.0     310.0     273.1     190.7     190.7     150.0
    10     8  2017   118    4     389.2    326.5    1.00    326.5     460.0     310.0     262.3     184.0     184.0     150.0
    11     8  2017   119    4     388.1    325.5    1.00    325.5     460.0     310.0     277.4     193.3     193.3     150.0
    12     8  2017   120    4     400.3    337.8    1.00    337.8     460.0     310.0     267.1     187.0     187.0     150.0
