name	RunNr	Day1	Month1	Year1	Rain	ETo	GD	CO2	Irri	Infilt	Runoff	Drain	Upflow	E	E/Ex	Tr	TrW	Tr/Trx	SaltIn	SaltOut	SaltUp	SaltProf	Cycle	SaltStr	FertStr	WeedStr	TempStr	ExpStr	StoStr	BioMass	Brelative	HI	Yield	WPet	DayN	MonthN	YearN	prm.file	climate.model	location	rcp	crop	irrigation	soil
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(49)	15	5	2065	1711.9	288.5	1566	639	16.6	1711.9	0	1485.9	0	156.4	94	85.1	85.1	100	0	0	0	0	130	0	0	0	14	0	-0	18.986	99	30	5.696	2.37	28	9	2065	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(50)	15	5	2066	1864.9	325	1559.2	647	26.9	1864.9	0	1634.1	0	172.6	92	93	93	100	0	0	0	0	121	0	0	0	11	0	0	18.959	99	30	5.688	2.16	19	9	2066	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(51)	15	5	2067	1909.7	313.3	1558.8	654	12.6	1909.7	0	1671.4	0	162.6	91	91.8	91.8	100	0	0	0	0	116	0	0	0	8	0	0	18.799	99	30	5.64	2.24	14	9	2067	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(52)	15	5	2068	1750.3	303.2	1558.2	662	20.6	1750.3	0	1521.4	0	156.5	96	95.7	95.7	100	0	0	0	0	124	0	0	0	12	0	0	19.05	99	30	5.715	2.27	22	9	2068	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(53)	15	5	2069	1670.2	298.6	1560.5	669	17.2	1670.2	0	1425	0	156.5	94	98	98	100	0	0	0	0	118	0	0	0	9	0	-0	18.739	99	30	5.622	2.23	16	9	2069	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(54)	15	5	2070	1773.5	296.2	1559.2	677	0	1773.5	0	1521.1	0	157.1	98	92.3	92.3	100	0	0	0	0	120	0	0	0	9	0	0	19.013	99	30	5.704	2.31	18	9	2070	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(55)	15	5	2071	1698.8	282.6	1564.3	685	5.5	1698.8	0	1473.8	0	148.2	96	85.3	85.3	100	0	0	0	0	125	0	0	0	11	0	0	19.08	99	30	5.724	2.47	23	9	2071	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(56)	15	5	2072	1848.7	284.7	1564.4	693	0	1848.7	0	1623.8	0	148.9	98	81.9	81.9	100	0	0	0	0	120	0	0	0	9	0	0	18.977	99	30	5.693	2.49	18	9	2072	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(57)	15	5	2073	1228.5	348.9	1561.9	701	102.1	1228.5	0	1044.7	0	190.9	86	92.7	92.7	100	0	0	0	0	113	0	0	0	8	0	-0	18.487	99	30	5.546	1.97	10	9	2073	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
1206_RCP85_net_15May_loamPRMseason.OUT	Tot(58)	15	5	2074	1363.5	350.5	1566.8	709	5	1363.5	0	1077	0	195	97	100.5	100.5	100	0	0	0	0	117	0	0	0	8	0	0	18.738	99	30	5.622	1.92	15	9	2074	1206_RCP85_net_15May_loam.PRM	1206(rcp85)	1206	rcp85	MaizeNEPAL	MaizeInetNEPAL	Loam
