name	RunNr	Day1	Month1	Year1	Rain	ETo	GD	CO2	Irri	Infilt	Runoff	Drain	Upflow	E	E/Ex	Tr	TrW	Tr/Trx	SaltIn	SaltOut	SaltUp	SaltProf	Cycle	SaltStr	FertStr	WeedStr	TempStr	ExpStr	StoStr	BioMass	Brelative	HI	Y(dry)	Y(fresh)	WPet	Bin	Bout	DayN	MonthN	YearN	prm.file	name.variable	prm.file.name	climate.file	temperature.file	reference.ET.file	rain.file	co2.file	crop.file	irrigation.file	field.management.file	soil.file	groundwater.table.file	initial.condition.file	offseason.condition.file	cropping.period.start	cropping.period.end	name.variable1	name.variable2	name.variable3	name.variable4	name.variable5	name.variable6	name.variable7
Maize_short_Chisinau_22May_Optimum_26_NCCPRMseason.OUT	Tot(74)	22	5	2093	126.6	527.5	1222.2	424	0	125.9	0.7	0	0	102.6	42	237.1	237.6	84	0	0	0	0	107	0	0	0	12	10	14	16.585	73	40.1	6.653	-9.9	1.96	0	0	11	9	2093	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Maize_short_Chisinau_22May_Optimum_26_NCC	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	RCP2-6	Maize-short	rainfed	Optimum	Centre_Mo	NA	NA	NA	22_May	11_Sep	Maize	short	Chisinau	22May	Optimum	26	NCC
Maize_short_Chisinau_22May_Optimum_26_NCCPRMseason.OUT	Tot(75)	22	5	2094	128	627.8	1472.5	424	0	125.3	2.7	6.1	0	107.7	29	208.4	208	80	0	0	0	0	107	0	0	0	4	35	13	12.053	51	40.6	4.892	-9.9	1.55	0	0	11	9	2094	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Maize_short_Chisinau_22May_Optimum_26_NCC	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	RCP2-6	Maize-short	rainfed	Optimum	Centre_Mo	NA	NA	NA	22_May	11_Sep	Maize	short	Chisinau	22May	Optimum	26	NCC
Maize_short_Chisinau_22May_Optimum_26_NCCPRMseason.OUT	Tot(76)	22	5	2095	107.6	601	1375.8	423	0	107.6	0	0	0	91.4	29	232.3	232.8	81	0	0	0	0	107	0	0	0	6	22	17	14.312	62	40.2	5.756	-9.9	1.78	0	0	11	9	2095	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Maize_short_Chisinau_22May_Optimum_26_NCC	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	RCP2-6	Maize-short	rainfed	Optimum	Centre_Mo	NA	NA	NA	22_May	11_Sep	Maize	short	Chisinau	22May	Optimum	26	NCC
Maize_short_Chisinau_22May_Optimum_26_NCCPRMseason.OUT	Tot(77)	22	5	2096	243.9	442.6	1110.1	423	0	230.2	13.7	37.6	0	111.7	69	265.3	265.5	98	0	0	0	0	107	0	0	0	21	3	2	20.647	95	40.1	8.29	-9.9	2.2	0	0	11	9	2096	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Maize_short_Chisinau_22May_Optimum_26_NCC	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	RCP2-6	Maize-short	rainfed	Optimum	Centre_Mo	NA	NA	NA	22_May	11_Sep	Maize	short	Chisinau	22May	Optimum	26	NCC
Maize_short_Chisinau_22May_Optimum_26_NCCPRMseason.OUT	Tot(78)	22	5	2097	83.7	542.3	1286.1	422	0	83.7	0	0	0	97.9	35	199	199	80	0	0	0	0	101	0	0	0	12	22	18	13.223	56	38.1	5.034	-9.9	1.7	0	0	11	9	2097	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Maize_short_Chisinau_22May_Optimum_26_NCC	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	RCP2-6	Maize-short	rainfed	Optimum	Centre_Mo	NA	NA	NA	22_May	11_Sep	Maize	short	Chisinau	22May	Optimum	26	NCC
Maize_short_Chisinau_22May_Optimum_26_NCCPRMseason.OUT	Tot(79)	22	5	2098	184.6	521.2	1236.9	422	0	172.1	12.5	14.1	0	136.6	62	237.2	237	81	0	0	0	0	107	0	0	0	11	8	14	15.919	72	39.7	6.322	-9.9	1.69	0	0	11	9	2098	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Maize_short_Chisinau_22May_Optimum_26_NCC	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	RCP2-6	Maize-short	rainfed	Optimum	Centre_Mo	NA	NA	NA	22_May	11_Sep	Maize	short	Chisinau	22May	Optimum	26	NCC
Maize_short_Chisinau_22May_Optimum_26_NCCPRMseason.OUT	Tot(80)	22	5	2099	166.8	540.3	1375.9	421	0	164.1	2.7	5.1	0	121.1	52	252.6	252.5	83	0	0	0	0	107	0	0	0	6	14	16	16.492	70	40.2	6.635	-9.9	1.78	0	0	11	9	2099	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Maize_short_Chisinau_22May_Optimum_26_NCC	Maize_short_Chisinau_22May_Optimum_26_NCC.PRM	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	Chisinau_NCC-NorESM1-M_rcp26	RCP2-6	Maize-short	rainfed	Optimum	Centre_Mo	NA	NA	NA	22_May	11_Sep	Maize	short	Chisinau	22May	Optimum	26	NCC
Maize_short_Soroca_22May_Optimum_26_MPIPRMseason.OUT	Tot(1)	22	5	2020	241.1	426.6	1073.6	412	0	236.6	4.5	0	0	120.9	66	225.9	224.9	100	0	0	0	0	107	0	0	0	19	4	0	18.685	96	40.2	7.518	-9.9	2.17	0	0	11	9	2020	Maize_short_Soroca_22May_Optimum_26_MPI.PRM	Maize_short_Soroca_22May_Optimum_26_MPI	Maize_short_Soroca_22May_Optimum_26_MPI.PRM	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	RCP2-6	Maize-short	rainfed	Optimum	North_South	NA	NA	NA	22_May	11_Sep	Maize	short	Soroca	22May	Optimum	26	MPI
Maize_short_Soroca_22May_Optimum_26_MPIPRMseason.OUT	Tot(2)	22	5	2021	216.4	460.1	1109.6	414	0	215.8	0.6	0	0	102.6	51	259.9	259.2	100	0	0	0	0	107	0	0	0	17	5	0	21.175	95	40.2	8.505	-9.9	2.35	0	0	11	9	2021	Maize_short_Soroca_22May_Optimum_26_MPI.PRM	Maize_short_Soroca_22May_Optimum_26_MPI	Maize_short_Soroca_22May_Optimum_26_MPI.PRM	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	RCP2-6	Maize-short	rainfed	Optimum	North_South	NA	NA	NA	22_May	11_Sep	Maize	short	Soroca	22May	Optimum	26	MPI
Maize_short_Soroca_22May_Optimum_26_MPIPRMseason.OUT	Tot(3)	22	5	2022	358.7	410	1049.4	417	0	296.7	62	17.2	0	127.8	84	245.1	244.2	100	0	0	0	0	107	0	0	0	22	7	0	19.539	97	40.4	7.898	-9.9	2.12	0	0	11	9	2022	Maize_short_Soroca_22May_Optimum_26_MPI.PRM	Maize_short_Soroca_22May_Optimum_26_MPI	Maize_short_Soroca_22May_Optimum_26_MPI.PRM	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	Soroca_MPI-M-MPI-ESM-LR_rcp26	RCP2-6	Maize-short	rainfed	Optimum	North_South	NA	NA	NA	22_May	11_Sep	Maize	short	Soroca	22May	Optimum	26	MPI
